"","id","sexo","edad","edad_r","hab","prov","ccaa","edu","cs","p1","p2","p3","p4_1","p4_2","p4_3","p4_4","p5","p6","p7","hab_r","clase_social_r","situacion_laboral_r","educacion_r","ponde"
"23","23","Mujer",20,"18-24","< 10.000","Zaragoza","Aragón","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","Prefiero no contestar","PSOE (Partido Socialista Obrero Español)","8","2","No le votaría nunca 0","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","2","4","Menos de 10.000","Alta / Media Alta","Estudiante","Segundo grado, segundo ciclo",0.742409
"24","24","Mujer",26,"25-34","100.001 - 500.000","Balears, Illes","Balears, Illes","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","Con toda seguridad, NO iría a votar 0","PACMA (Partido Animalista Contra el Maltrato Animal)","Ninguno","No lo sé","No le votaría nunca 0","2","No le votaría nunca 0","PACMA (Partido Animalista Contra el Maltrato Animal)","4","5","Más de 10.000","Media baja / Baja","Parado","Segundo grado, segundo ciclo",1.905114
"25","25","Mujer",35,"35-44","20.001 - 50.000","Murcia","Murcia, Región de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","5","Más País (Equo, Compromís, CHA)","Más País (Equo, Compromís, CHA)","4","8","4","6","Más País (Equo, Més Compromís, CHA)","5","4","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",1.129934
"26","26","Mujer",59,"55-64","500.000+","Valencia/València","Comunitat Valenciana","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A2","3","Prefiero no contestar","PSOE (Partido Socialista Obrero Español)","7","5","7","5","No voté","5","No lo sé","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.617113
"27","27","Hombre",37,"35-44","500.000+","Sevilla","Andalucía","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","D","5","PACMA (Partido Animalista Contra el Maltrato Animal)","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","PACMA (Partido Animalista Contra el Maltrato Animal)","3","5","Más de 10.000","Media baja / Baja","Trabaja","Tercer grado, primer ciclo",1.112868
"28","28","Hombre",68,"65+","20.001 - 50.000","Valencia/València","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Vox","Vox","1","6","No le votaría nunca 0","8","Vox","6","8","Más de 10.000","Media","Pensionista","Segundo grado, segundo ciclo",1.11876
"29","29","Hombre",53,"45-54","100.001 - 500.000","Madrid","Madrid, Comunidad de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A2","8","Vox","Vox","2","4","1","8","Vox","5","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.670542
"30","30","Mujer",58,"55-64","< 10.000","Tarragona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","9","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","9","3","5","2","PSOE (Partido Socialista Obrero Español)","5","5","Menos de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.852639
"31","31","Hombre",65,"65+","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","D","Con toda seguridad, NO iría a votar 0","Vox","Vox","No le votaría nunca 0","5","No le votaría nunca 0","9","Vox","5","9","Más de 10.000","Media baja / Baja","Pensionista","Tercer grado, primer ciclo",1.284166
"32","32","Mujer",36,"35-44","500.000+","Madrid","Madrid, Comunidad de","Tercer Grado (Máster)","A2","Con toda seguridad, iría a votar 10","Vox","Vox","4","8","No le votaría nunca 0","9","PP (Partido Popular)","7","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.722636
"33","33","Mujer",66,"65+","< 10.000","Huelva","Andalucía","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","D","Con toda seguridad, iría a votar 10","No lo sé","No lo sé","1","2","1","3","No lo sé","6","8","Menos de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Tercer grado, segundo ciclo y más",1.817606
"34","34","Mujer",52,"45-54","500.000+","Madrid","Madrid, Comunidad de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","5","Le votaría siempre 10","No le votaría nunca 0","5","PP (Partido Popular)","7","6","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.678931
"35","35","Mujer",51,"45-54","< 10.000","Coruña, A","Galicia","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","8","Votaré nulo","Vox","No le votaría nunca 0","5","No le votaría nunca 0","7","Vox","7","8","Menos de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Segundo grado, segundo ciclo",1.090909
"36","36","Mujer",67,"65+","500.000+","Madrid","Madrid, Comunidad de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A1","No lo sé","PP (Partido Popular)","PP (Partido Popular)","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","8","No voté","5","Máxima descentralización 0","Más de 10.000","Alta / Media Alta","Pensionista","Segundo grado, segundo ciclo",1.479966
"37","37","Mujer",69,"65+","50.001 - 100.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","Ciudadanos","Ciudadanos","1","5","No le votaría nunca 0","No le votaría nunca 0","Ciudadanos","5","5","Más de 10.000","Alta / Media Alta","Pensionista","Segundo grado, segundo ciclo",1.137581
"38","38","Hombre",42,"35-44","20.001 - 50.000","Murcia","Murcia, Región de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","A2","9","Vox","Vox","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","Le votaría siempre 10","Vox","Extrema derecha 10","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.962269
"39","39","Hombre",60,"55-64","20.001 - 50.000","Coruña, A","Galicia","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","Con toda seguridad, iría a votar 10","BNG","BNG","7","No le votaría nunca 0","9","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","1","Máxima descentralización 0","Más de 10.000","Alta / Media Alta","Pensionista","Tercer grado, primer ciclo",0.628896
"40","40","Hombre",47,"45-54","50.001 - 100.000","Toledo","Castilla - La Mancha","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","7","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","8","No le votaría nunca 0","5","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","3","7","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.643762
"41","41","Hombre",18,"18-24","20.001 - 50.000","Sevilla","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","1","Votaré en blanco","Ninguno","No lo sé","No lo sé","No lo sé","No lo sé","No tenía edad para votar","4","No lo sé","Más de 10.000","Media","Estudiante","Segundo grado, segundo ciclo",0.899076
"42","42","Hombre",68,"65+","100.001 - 500.000","Tarragona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","Vox","Ninguno","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","8","Vox","5","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Pensionista","Segundo grado, segundo ciclo",0.924994
"43","43","Hombre",67,"65+","10.001 - 20.000","Santa Cruz de Tenerife","Canarias","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","C","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","5","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","No voté","Extrema izquierda 0","7","Más de 10.000","Media","Parado","Tercer grado, segundo ciclo y más",1.168272
"44","44","Hombre",39,"35-44","< 10.000","Toledo","Castilla - La Mancha","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Le votaría siempre 10","No le votaría nunca 0","9","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","1","4","Menos de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",0.964928
"45","45","Mujer",73,"65+","50.001 - 100.000","Palmas, Las","Canarias","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","Con toda seguridad, iría a votar 10","No lo sé","Ciudadanos","3","6","No le votaría nunca 0","No le votaría nunca 0","Ciudadanos","4","5","Más de 10.000","Alta / Media Alta","Pensionista","Tercer grado, segundo ciclo y más",1.052218
"46","46","Hombre",79,"65+","500.000+","Barcelona","Cataluña","Tercer Grado (Máster)","A2","Con toda seguridad, iría a votar 10","JxCAT - Junts","JxCAT - Junts","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","JxCAT - Junts","6","Máxima descentralización 0","Más de 10.000","Alta / Media Alta","Pensionista","Tercer grado, segundo ciclo y más",1.025054
"47","47","Hombre",38,"35-44","20.001 - 50.000","Burgos","Castilla y León","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","1","9","No le votaría nunca 0","8","Vox","8","8","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.77864
"48","48","Hombre",55,"55-64","20.001 - 50.000","Valencia/València","Comunitat Valenciana","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","Vox","PP (Partido Popular)","No le votaría nunca 0","1","No le votaría nunca 0","9","PP (Partido Popular)","8","Máximo centralismo 10","Más de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.595449
"49","49","Mujer",59,"55-64","< 10.000","Zamora","Castilla y León","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","D","7","PSOE (Partido Socialista Obrero Español)","PRC","8","4","3","4","PSOE (Partido Socialista Obrero Español)","4","6","Menos de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Segundo grado, primer ciclo y menos",1.097692
"50","50","Hombre",38,"35-44","< 10.000","Asturias","Asturias, Principado de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","A2","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","1","No le votaría nunca 0","8","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","4","3","Menos de 10.000","Alta / Media Alta","Trabaja","Segundo grado, segundo ciclo",0.871452
"51","51","Mujer",46,"45-54","500.000+","Madrid","Madrid, Comunidad de","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","Ciudadanos","1","Le votaría siempre 10","No le votaría nunca 0","No le votaría nunca 0","PP (Partido Popular)","8","3","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.624784
"52","52","Mujer",39,"35-44","< 10.000","Lleida","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","B","Con toda seguridad, iría a votar 10","ERC - Sobiranistes","ERC - Sobiranistes","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","ERC - Sobiranistes","1","1","Menos de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.854058
"53","53","Hombre",55,"55-64","20.001 - 50.000","Gipuzkoa","País Vasco","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","1","No votaré","Ninguno","2","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No voté","5","5","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",1.136095
"54","54","Mujer",71,"65+","500.000+","Madrid","Madrid, Comunidad de","Sin estudios o con estudios primarios sin terminar","E2","Con toda seguridad, NO iría a votar 0","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","7","5","No le votaría nunca 0","No le votaría nunca 0","Ciudadanos","5","9","Más de 10.000","Media baja / Baja","Pensionista","Segundo grado, primer ciclo y menos",2.078103
"55","55","Hombre",54,"45-54","100.001 - 500.000","Granada","Andalucía","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E1","9","Votaré en blanco","Ciudadanos","7","8","2","2","Ciudadanos","8","2","Más de 10.000","Media baja / Baja","Trabaja","Segundo grado, segundo ciclo",1.042955
"56","56","Mujer",52,"45-54","100.001 - 500.000","Barcelona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","E2","Con toda seguridad, iría a votar 10","ERC - Sobiranistes","ERC - Sobiranistes","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","No le votaría nunca 0","ERC - Sobiranistes","Extrema izquierda 0","Máxima descentralización 0","Más de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.494708
"57","57","Hombre",54,"45-54","100.001 - 500.000","Barcelona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A2","9","Ciudadanos","Ciudadanos","4","5","3","4","Ciudadanos","5","6","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.703122
"58","58","Mujer",69,"65+","100.001 - 500.000","Murcia","Murcia, Región de","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","C","9","Vox","Vox","1","7","No le votaría nunca 0","Le votaría siempre 10","PSOE (Partido Socialista Obrero Español)","No lo sé","No lo sé","Más de 10.000","Media","Trabaja","Tercer grado, primer ciclo",1.429509
"59","59","Hombre",32,"25-34","50.001 - 100.000","Cádiz","Andalucía","Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 año","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","Ciudadanos","5","7","4","1","Ciudadanos","6","8","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, primer ciclo",0.888673
"60","60","Mujer",60,"55-64","< 10.000","Asturias","Asturias, Principado de","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","B","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","1","8","No le votaría nunca 0","5","PP (Partido Popular)","8","5","Menos de 10.000","Alta / Media Alta","Trabajo del hogar no remunerado","Segundo grado, segundo ciclo",0.731505
"61","61","Mujer",64,"55-64","< 10.000","Tarragona","Cataluña","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","D","Con toda seguridad, iría a votar 10","PSOE (Partido Socialista Obrero Español)","PSOE (Partido Socialista Obrero Español)","Le votaría siempre 10","2","5","No le votaría nunca 0","PSOE (Partido Socialista Obrero Español)","4","3","Menos de 10.000","Media baja / Baja","Pensionista","Segundo grado, segundo ciclo",1.120069
"62","62","Hombre",46,"45-54","50.001 - 100.000","Barcelona","Cataluña","Tercer Grado (Máster)","B","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","7","No le votaría nunca 0","Le votaría siempre 10","Vox","8","5","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",0.737555
"63","63","Mujer",62,"55-64","500.000+","Valencia/València","Comunitat Valenciana","Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa,","A2","Con toda seguridad, iría a votar 10","PP (Partido Popular)","PP (Partido Popular)","1","Le votaría siempre 10","No le votaría nunca 0","No lo sé","PP (Partido Popular)","8","5","Más de 10.000","Alta / Media Alta","Trabajo del hogar no remunerado","Segundo grado, primer ciclo y menos",0.617113
"64","64","Hombre",45,"45-54","100.001 - 500.000","Bizkaia","País Vasco","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","A1","Con toda seguridad, iría a votar 10","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En Común Unidas Podemos…)","4","No le votaría nunca 0","Le votaría siempre 10","No le votaría nunca 0","Unidas Podemos (Podemos, Izquierda Unida, En Comú Podem, En","2","Máxima descentralización 0","Más de 10.000","Alta / Media Alta","Trabaja","Tercer grado, segundo ciclo y más",1.410965
"65","65","Mujer",21,"18-24","100.001 - 500.000","Balears, Illes","Balears, Illes","Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3","C","Con toda seguridad, iría a votar 10","Votaré en blanco","Ninguno","4","3","7","2","Voté nulo","2","5","Más de 10.000","Media","Trabaja","Segundo grado, segundo ciclo",1.425133
"66","66","Mujer",66,"65+","50.001 - 100.000","Barcelona","Cataluña","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados","E1","Con toda seguridad, iría a votar 10","Vox","Vox","No le votaría nunca 0","6","No le votaría nunca 0","8","Ciudadanos","8","6","Más de 10.000","Media baja / Baja","Trabajo del hogar no remunerado","Tercer grado, segundo ciclo y más",1.520163
